,FSC-H,FSC-A,SSC-H,SSC-A,FITC-H,FITC-A,VSSC-H,VSSC-A,PE-H,PE-A,ECD-H,ECD-A,FSC-Width,Time
642,10.040162,9.547833,9.790055,9.747331,5.6896834,1.4586151,10.4308605,10.324422,6.3493137,4.9308705,6.0737357,1.7749524,6.439134,8.987572
648,10.895984,10.749482,10.69318,10.701195,5.8707085,3.2771447,11.251329,11.198711,6.0560813,4.85515,6.347914,6.0672674,6.7850847,8.994793
650,10.141532,9.638552,10.089806,10.001553,5.5349693,2.4336133,10.559626,10.457013,6.0024047,4.225373,6.2275243,5.295313,6.428773,8.995785
653,10.423418,9.820557,9.68276,9.63072,5.533785,3.1612468,10.530708,10.446463,6.245137,5.7636223,6.0842714,4.11578,6.328779,8.9981365
657,11.101167,10.778262,10.496618,10.440393,6.020052,5.879135,10.899458,10.816113,5.680514,3.908015,6.0190797,5.548687,6.608559,9.004054
675,10.563474,9.900885,9.500858,9.483195,5.839187,4.7050157,9.954042,9.849216,5.9849434,4.464758,5.7535243,3.723281,6.2690463,9.025335
676,11.10457,10.914474,10.723873,10.74718,5.880812,4.631812,11.383726,11.370756,6.742527,5.627261,6.385363,3.7999735,6.741406,9.027139
680,10.530158,10.171631,9.9791,10.006947,5.8930244,3.1398327,10.741529,10.659173,6.0781007,4.479607,5.8203797,5.2621717,6.573028,9.031453
695,10.74443,9.815241,10.152591,10.022652,5.6605268,4.6366687,10.814113,10.700923,6.1837363,5.305293,5.392718,3.6082115,6.002337,9.044876
699,10.472043,9.59851,9.380969,9.233851,5.714722,4.755313,9.454698,9.3405,5.928791,2.7080503,6.268907,5.723258,6.0579495,9.048527
707,10.738306,10.114246,10.1470375,9.994872,6.0922146,5.415211,10.839373,10.703161,5.621849,4.264087,6.459278,5.0330486,6.307572,9.055206
710,10.762685,9.758184,8.211293,7.8725696,5.8383136,4.553877,8.773585,8.427641,6.1946096,4.859037,5.7271733,4.1319613,5.926958,9.056256
719,10.142721,9.756969,9.939198,9.794543,5.7954497,4.731803,10.5883255,10.489851,5.8567896,5.0568824,6.2314653,4.7167115,6.545896,9.064505
720,10.555372,10.058806,10.033665,9.919888,5.428907,2.5494452,10.569159,10.475926,5.828357,4.713127,6.0711994,5.072671,6.4350863,9.064968
721,10.64472,10.300783,10.257828,10.111335,6.0767245,4.9155917,10.860561,10.811396,6.7125916,6.045716,6.321128,5.3273907,6.5875783,9.065892
722,10.747474,10.085501,10.233028,10.0748825,5.5085783,4.6021657,10.818647,10.707944,5.543614,4.347694,6.317165,4.082609,6.2695026,9.067509
724,10.617764,10.314398,9.938145,9.9367485,5.899349,4.067316,10.665939,10.559525,5.603594,3.1696856,6.5206213,5.370638,6.62823,9.068431
